id,name,asking_price,sde,multiple,sba_status
5025,18-Year-old Catholic Products Website with 32% Sales Growth YOY,295000.0,102471.0,2.878863288149818,unknown
6875,Efficient Online Jewelry Business | 20 Year Track Record | No Experience Necessary | Low Multiple,595000.0,263897.0,2.2546675407450634,no
7499,High Margin Online Courses with Recurring Revenue | 66% Trial Conversion | $200 LTV,325000.0,125071.0,2.5985240383462194,no
7559,"Seller Financing, Content / eCommerce Business, Home Improvement Vertical, Strong YOY Growth",1895000.0,546147.0,3.469761804056417,no
9666,SBA Shopify Christian Products Brand | 53% Repeat Order Rate | $20M+ Lifetime Sales | High Margins,2100000.0,826734.0,2.5401156841257286,yes
11587,Amazon FBA Brand - Patented Products in Maternity and Wellness Niche with Growing YOY SDE,424000.0,141417.0,2.9982251073067596,unknown
12034,Passive 13-Yr-Old B2B SaaS Business with 27% YoY Growth,290000.0,85297.0,3.3998851073308556,no
13061,7-Year-Old Shopify Watch Accessory Brand | 33K Emails | $89K SDE,250000.0,89505.0,2.7931400480420088,no
13990,SBA Prequalified | 7 Year-Old Blue-Collar Workwear Brand w/38% Net Margins | Growth Opportunities,4600000.0,1704289.0,2.6990727511589876,yes
15012,Amazon FBA Water Bottle Accessories Business w/4 Design Patents | Wholesale Opportunities,142500.0,57028.0,2.49877253279091,no
15413,"Seller Financing Available: Solar & Renewable Energy, +17.1% YoY Earnings, Massive Industry Tailwind",800000.0,284136.0,2.8155531154095224,no
16271,7-Year-Old Stripe Connect Membership Platform SaaS | Massive Market | Robust App Ready to Grow,300000.0,94150.0,3.186404673393521,no
16471,SAAS Bookkeeping with 88% Organic Traffic | 178% SDE Growth | New Revenue Stream Online Soon,436000.0,89462.0,4.873577608370034,unknown
16522,"Top-Rated Productivity SaaS with $40K MRR, 10K Customers and Low Churn",1550000.0,396110.0,3.9130544545707,no
16878,Dropship Shopify Health Business | $1M+ Revenue | 35% SDE TTM Growth | U.S. Based Suppliers,230000.0,103797.0,2.215863656945769,no
16914,Shopify Custom Products Business | US Manufacturing | Shark Tank Featured,90000.0,35492.0,2.5357827115969798,no
17312,"SaaS Biz, Senior Well-Being Niche - Passive - Growth Potential - YoY TTM Rev & SDE growth 19% & 21%",420000.0,105848.0,3.9679540473131283,no
17516,5 yr Old Pool Access. Biz | 95% Amazon FBA | YOY Revenue +102% | COGS Decrease,179000.0,66769.0,2.6808848417678863,no
